Name,Bezugseinheit,"Energie, Kilojoule (kJ)","Energie, Kalorien (kcal)","Fett, total (g)","Fettsäuren, gesättigt (g)","Fettsäuren, einfach ungesättigt (g)","Fettsäuren, mehrfach ungesättigt (g)",Cholesterin (mg),"Kohlenhydrate, verfügbar (g)",Zucker (g),Stärke (g),Nahrungsfasern (g),Protein (g),Salz (NaCl) (g),Wasser (g),,,,,,,,,,,,,,,,,,,,,Phosphor (P) (mg),Eisen (Fe) (mg),Jod (I) (µg),Zink (Zn)  (mg),Selen (Se) (µg)
"Fleischlasagne, zubereitet",pro 100g essbarer Anteil,589,141,6,3,1.9,0.4,25,12.2,2.4,9.7,1.5,8.8,0.9,71.7,,,,,,,,,,,,,,,,,,,,,110,0.9,4.7,1.6,k.A.
"Flunder, Filet, gedämpft (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,292,69,0.8,0.2,0.2,0.2,60,0,0,0,0,15.5,0.4,83.7,,,,,,,,,,,,,,,,,,,,,200,0.3,7.1,0.6,k.A.
"Flunder, roh",pro 100g essbarer Anteil,306,72,0.7,0.1,0.1,0.2,48,0,0,0,0,16.5,0.4,81.4,,,,,,,,,,,,,,,,,,,,,190,0.3,6.3,0.5,k.A.
"Fondue alkoholfrei, zubereitet",pro 100g essbarer Anteil,1180,283,21.5,13.4,5.2,1,55,1.6,1,0.6,0,18.7,0.3,56.6,,,,,,,,,,,,,,,,,,,,,410,0.5,17,3.2,k.A.
"Fondue klassisch, zubereitet",pro 100g essbarer Anteil,1310,315,22.4,13.9,5.4,1,58,1,0.1,0.9,0,19.6,0.3,52.1,,,,,,,,,,,,,,,,,,,,,430,0.4,17,3.3,k.A.
"Fondue moitié-moitié, zubereitet",pro 100g essbarer Anteil,1210,291,20.8,12.5,4.9,1,62,1,0,0.9,0,16.7,1,56.5,,,,,,,,,,,,,,,,,,,,,360,0.4,16,2.4,k.A.
"Forelle, ganz, gekocht (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,483,116,6.2,1.5,2,2.2,k.A.,0,0,0,0,15,0.1,78.8,,,,,,,,,,,,,,,,,,,,,230,2,15,0.6,k.A.
"Forelle, roh",pro 100g essbarer Anteil,533,127,7,1.7,2.2,2.5,k.A.,0,0,0,0,16,0.1,75.3,,,,,,,,,,,,,,,,,,,,,220,2,14,0.4,k.A.
Fotzelschnitte ungezuckert,pro 100g essbarer Anteil,930,222,9.9,5.1,2.6,0.9,104,24.5,1.7,22.5,1.2,8,0.9,56.7,,,,,,,,,,,,,,,,,,,,,100,0.7,12,0.6,5.9
Freiburger Vacherin,pro 100g essbarer Anteil,1540,370,30.4,18.2,7.1,1.4,91,0,0,0,0,23.5,1.5,42.3,,,,,,,,,,,,,,,,,,,,,460,0.1,27,2.7,k.A.
"Frischkäse, Doppelrahm",pro 100g essbarer Anteil,1450,351,32.1,19.2,7.5,1.5,96,4.5,2.3,Sp.,0,11.1,1.3,52,,,,,,,,,,,,,,,,,,,,,130,0.2,8,0.4,k.A.
"Früchte (Durchschnitt), gekocht (ohne Zugabe von Zucker)",pro 100g essbarer Anteil,221,52,0.4,0,0,0.1,0,10.5,10.4,0,2.4,0.6,0,86.2,,,,,,,,,,,,,,,,,,,,,15,0.3,1.4,0.2,k.A.
"Früchte (Durchschnitt), getrocknet",pro 100g essbarer Anteil,1180,280,1.1,0.3,0.3,0.3,0,60.2,53.7,2.1,9.2,2.7,0,26.7,,,,,,,,,,,,,,,,,,,,,81,2.1,4.6,0.6,k.A.
"Früchte (Durchschnitt), roh",pro 100g essbarer Anteil,239,57,0.3,0,0,0.1,0,11.8,11.3,0.6,2,0.7,0,85.2,,,,,,,,,,,,,,,,,,,,,16,0.3,1.2,0.1,k.A.
"Fruchtsaft-Schorle (Durchschnitt, 60% Saft - 40% Wasser), ungezuckert",pro 100 ml,132,31,0.2,0,0,0,0,7.2,7.1,0,0,0.2,0,92.4,,,,,,,,,,,,,,,,,,,,,8.1,0.1,0.9,0.1,k.A.
"Fruchtsaft (Durchschnitt), ungezuckert",pro 100 ml,220,52,0.3,0,0,0.1,0,12,11.8,0,0,0.3,0,87.4,,,,,,,,,,,,,,,,,,,,,14,0.2,1.5,0.1,k.A.
"Fruchtsalat, gezuckert (Konserve)",pro 100g essbarer Anteil,294,69,0.3,0,0.1,0.1,0,15.6,15.6,0,1.5,0.4,0,82.2,,,,,,,,,,,,,,,,,,,,,13,0.3,1.9,0.1,k.A.
"Fruchtsalat, ungezuckert (Konserve)",pro 100g essbarer Anteil,184,44,0.3,0,0.1,0.1,0,9,9,0,1.6,0.5,0,88.6,,,,,,,,,,,,,,,,,,,,,13,0.3,2,0.1,k.A.
Fruchtwähe/-kuchen (Durchschnitt),pro 100g essbarer Anteil,694,166,8.3,2.8,3.3,1.3,22,18.1,7.9,10,3.3,3.1,0.3,67.3,,,,,,,,,,,,,,,,,,,,,49,0.7,5.4,0.3,k.A.
Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt),pro 100g essbarer Anteil,582,139,6.5,1.9,2.8,1.2,18,16,7.6,8.3,2.5,2.8,0.3,72.3,,,,,,,,,,,,,,,,,,,,,40,0.5,3.6,0.2,k.A.
Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt),pro 100g essbarer Anteil,578,138,5.9,1.7,2.5,1.1,18,16.9,7.6,9.1,2.5,3,0.2,71.8,,,,,,,,,,,,,,,,,,,,,48,0.6,3.6,0.3,k.A.
Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt),pro 100g essbarer Anteil,924,222,12.4,4.7,4.7,1.7,28,21.4,8.6,12.7,4.7,3.7,0.3,58,,,,,,,,,,,,,,,,,,,,,59,1,9,0.4,k.A.
"Frühlingsrolle, frittiert",pro 100g essbarer Anteil,938,224,11.2,2.9,5.1,2.7,28,23.1,3,17.2,2.5,6.5,1.5,54.8,,,,,,,,,,,,,,,,,,,,,67,0.9,1,0.6,4.4
Fünfkornbier,pro 100 ml,165,40,0,0,0,0,0,2,2,0,0.2,0.6,0,92.5,,,,,,,,,,,,,,,,,,,,,16,0,Sp.,0,k.A.
"Garnele, gekocht",pro 100g essbarer Anteil,195,46,0.5,0.1,0.1,0.2,158,1.3,0,0,0,9,0.4,89.2,,,,,,,,,,,,,,,,,,,,,180,0.3,86,0.8,k.A.
"Garnele, roh",pro 100g essbarer Anteil,236,56,0.6,0.1,0.1,0.2,150,1.2,Sp.,0,0,11.4,0.5,85.5,,,,,,,,,,,,,,,,,,,,,210,0.3,91,0.8,k.A.
"Geflügelfleisch (Durchschnitt exkl. Innereien), roh",pro 100g essbarer Anteil,563,134,5.3,1.6,2.4,1,65,0.1,0,0,0,21.6,0.1,73.1,,,,,,,,,,,,,,,,,,,,,200,0.5,5.1,0.9,k.A.
"Geflügelfleisch mit Haut (Durchschnitt), roh",pro 100g essbarer Anteil,673,161,9,2.7,4.3,1.5,76,0,0,0,0,20,0.1,71,,,,,,,,,,,,,,,,,,,,,180,0.5,9.3,0.8,k.A.
"Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien), roh",pro 100g essbarer Anteil,480,114,2.4,0.7,1,0.6,58,0.1,0,0,0,22.9,0.2,74.6,,,,,,,,,,,,,,,,,,,,,210,0.5,2,1,k.A.
Geflügellyoner,pro 100g essbarer Anteil,852,205,16.4,5.1,7.5,2.3,65,0.9,0.9,0,0,13.5,2.3,65.3,,,,,,,,,,,,,,,,,,,,,210,0.5,k.A.,1.1,8.6
"Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,690,164,6.6,2.5,3.1,0.6,79,0,0,0,0,26.3,0.1,67.1,,,,,,,,,,,,,,,,,,,,,200,1.4,1.9,3.2,k.A.
"Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh",pro 100g essbarer Anteil,599,143,6.2,2.4,3,0.6,62,0,0,0,0,21.6,0.1,72.1,,,,,,,,,,,,,,,,,,,,,190,1.1,1.5,2.6,k.A.
"Gemüse (Durchschnitt), roh",pro 100g essbarer Anteil,111,26,0.3,0,0,0.1,0,3.7,3.5,0.2,2,1.3,0,92.7,,,,,,,,,,,,,,,,,,,,,30,0.4,2.6,0.2,k.A.
"Gemüsegratin, gebacken",pro 100g essbarer Anteil,242,58,3.8,2.2,0.9,0.2,9,2.3,1.6,0.8,1.9,2.8,0.3,89.2,,,,,,,,,,,,,,,,,,,,,71,0.4,4.1,0.4,k.A.
"Gemüselasagne, zubereitet",pro 100g essbarer Anteil,556,133,7.6,4.4,2,0.4,20,11.2,2.5,8.7,1.1,4.4,1.2,75.8,,,,,,,,,,,,,,,,,,,,,94,0.3,5.7,0.5,k.A.
Gerstenflocken,pro 100g essbarer Anteil,1410,333,1.5,0.3,0.1,0.7,0,66.1,2.2,63.6,10.3,8.5,0,12.4,,,,,,,,,,,,,,,,,,,,,190,2,1,1.3,k.A.
"Gerstotto, gekocht",pro 100g essbarer Anteil,571,135,2.1,0.3,1.3,0.3,0,24.7,1.6,21.8,1.7,3.5,0.8,68.2,,,,,,,,,,,,,,,,,,,,,71,1,0.7,0.7,k.A.
"Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), gebraten (ohne Zusatz von Fett und Salz)",pro 100g essbarer Anteil,633,150,3.8,1.2,1.5,0.5,81,0.1,0,0,0,28.9,0.2,67.2,,,,,,,,,,,,,,,,,,,,,230,1,1.9,3,k.A.
"Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh",pro 100g essbarer Anteil,498,118,3.3,1,1.4,0.4,59,0.1,0,0,0,22,0.1,74.6,,,,,,,,,,,,,,,,,,,,,200,0.8,1.4,2.3,k.A.
Getreideflocken (Durchschnitt),pro 100g essbarer Anteil,1470,348,3.2,0.6,0.9,1.4,0,64,1.5,62,9.7,10.8,0,12.9,,,,,,,,,,,,,,,,,,,,,280,3.6,2.3,2.2,k.A.
Getreideriegel mit Schokoladeüberzug,pro 100g essbarer Anteil,1920,459,20.3,11,6.7,2,4,58,37.2,19.9,5.5,8.5,0.4,6.3,,,,,,,,,,,,,,,,,,,,,210,2.3,7.2,1.5,k.A.
"Getreideriegel, ohne Ueberzug und Füllung",pro 100g essbarer Anteil,1740,415,12.7,5.1,4.6,2.2,0,64.1,32.2,31.4,6.1,7.9,0.4,8.3,,,,,,,,,,,,,,,,,,,,,170,2.1,1.8,1.3,k.A.
Gipfeli (Durchschnitt),pro 100g essbarer Anteil,1670,400,22,12.8,5.1,1.4,70,41.1,2.7,38,3.4,7.8,1.2,26.4,,,,,,,,,,,,,,,,,,,,,110,1,2.8,1,2.9
Glarner Schabziger,pro 100g essbarer Anteil,559,132,0.5,0.3,0.1,0,2,Sp.,0,0,0,31.6,4.3,58.3,,,,,,,,,,,,,,,,,,,,,560,0.2,Sp.,3.9,k.A.
Gorgonzola,pro 100g essbarer Anteil,1480,357,31.2,18.7,7.4,1.4,94,0.1,0.1,0,0,19,3.6,42.4,,,,,,,,,,,,,,,,,,,,,360,0.3,40,2.5,k.A.
"Grapefruit (weiss oder rot), roh",pro 100g essbarer Anteil,126,30,0.1,Sp.,Sp.,Sp.,0,5.9,5.9,0,1.3,0.7,0,90.4,,,,,,,,,,,,,,,,,,,,,12,0.2,1.3,0.1,k.A.
"Greyerzer, vollfett",pro 100g essbarer Anteil,1640,396,32,19.2,7.5,1.5,96,0,0,0,0,26.4,1.5,36,,,,,,,,,,,,,,,,,,,,,600,0.4,11,4.2,k.A.
"Griessbrei, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker)",pro 100g essbarer Anteil,392,93,3,1.7,0.7,0.2,12,11.8,4.8,6.9,0.3,4.6,0.2,80.3,,,,,,,,,,,,,,,,,,,,,110,0.1,11,0.6,k.A.
"Griessbrei, zubereitet (mit Vollmilch, ohne Zugabe von Zucker)",pro 100g essbarer Anteil,392,93,3,1.7,0.7,0.2,12,11.8,4.8,6.9,0.3,4.6,0.2,80.3,,,,,,,,,,,,,,,,,,,,,110,0.1,11,0.6,k.A.
"Griessschnitte, zubereitet (mit teilentrahmter Milch)",pro 100g essbarer Anteil,599,143,6.4,3.3,1.6,0.5,59,15,4,11,0.5,6.1,0.3,72.1,,,,,,,,,,,,,,,,,,,,,120,0.4,14,0.8,k.A.
"Griessschnitte, zubereitet (mit Vollmilch)",pro 100g essbarer Anteil,637,152,7.5,4,1.9,0.6,63,15,4,11,0.5,6,0.3,71.1,,,,,,,,,,,,,,,,,,,,,110,0.4,13,0.8,k.A.
Grittibänz,pro 100g essbarer Anteil,1380,329,11.1,6.4,2.6,0.9,41,46.9,2.8,43.7,2.2,9.2,1.4,31.2,,,,,,,,,,,,,,,,,,,,,91,0.5,5.4,0.6,2.6
Gugelhopf Grossmutter Art,pro 100g essbarer Anteil,1920,462,32,13.2,14,2.2,99,33.3,26.8,5,3.1,8.7,0.4,23.6,,,,,,,,,,,,,,,,,,,,,120,2.1,9.7,1.2,k.A.
Gulaschsuppe,pro 100g essbarer Anteil,281,67,2.4,1,1,0.2,7,6.3,1.4,4.1,0.4,4.8,0.6,85.3,,,,,,,,,,,,,,,,,,,,,35,0.5,0.5,0.6,k.A.
Gummibonbon mit Fruchtessenz,pro 100g essbarer Anteil,1450,341,0,0,0,0,0,78.6,74.7,3.9,0,6.6,0.2,12.1,,,,,,,,,,,,,,,,,,,,,4,0.2,Sp.,1.4,k.A.
"Gurke, in Essig eingelegt",pro 100g essbarer Anteil,59,14,0.1,Sp.,Sp.,Sp.,0,2.1,1.9,0.2,1,0.7,1.8,93,,,,,,,,,,,,,,,,,,,,,20,1,Sp.,0.3,k.A.
"Gurke, roh",pro 100g essbarer Anteil,57,14,0.1,Sp.,Sp.,Sp.,0,2,1.9,0.1,0.8,0.7,0,96,,,,,,,,,,,,,,,,,,,,,18,0.2,2.9,0.1,k.A.
"Hackbraten, im Ofen gebacken",pro 100g essbarer Anteil,697,166,7.7,2,4.2,0.9,68,8.2,0.9,7.2,0.6,15.8,2.2,67.8,,,,,,,,,,,,,,,,,,,,,120,1.3,5.3,2.6,k.A.
"Hackplätzli (Rind), gebraten in Rapsöl HOLL",pro 100g essbarer Anteil,782,187,9,2.5,4.9,0.9,86,6.5,1.6,4.9,0.7,19.5,0.7,64.4,,,,,,,,,,,,,,,,,,,,,160,2.1,7.5,3.9,k.A.
"Haferbrei, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker)",pro 100g essbarer Anteil,560,133,4.6,2.2,1.3,0.6,14,15.8,5.7,10,1.8,6.3,0.2,71.5,,,,,,,,,,,,,,,,,,,,,180,0.7,12,1,k.A.
"Haferbrei, zubereitet (mit Vollmilch, ohne Zugabe von Zucker)",pro 100g essbarer Anteil,616,147,6.2,3.2,1.6,0.7,19,15.8,5.7,10,1.8,6.2,0.2,70.1,,,,,,,,,,,,,,,,,,,,,180,0.7,12,1,k.A.
Haferflocken,pro 100g essbarer Anteil,1600,381,7.5,1,3,3,0,59.5,1,58,10.5,13.5,0.1,8.7,,,,,,,,,,,,,,,,,,,,,410,3.8,0.5,3,k.A.
Haferkleie,pro 100g essbarer Anteil,1560,371,7,1.3,2.4,2.8,0,50.8,1.5,49.3,15.4,18.5,0,6.6,,,,,,,,,,,,,,,,,,,,,730,5.4,0.8,3.1,k.A.
"Halbentrahmte Milch 1.5% Fett, UHT",pro 100 ml,192,46,1.5,0.9,0.4,0,5,4.8,4.8,0,0,3.2,0.1,89.7,,,,,,,,,,,,,,,,,,,,,89,0,10,0.4,k.A.
Halbfettbutter,pro 100g essbarer Anteil,1610,391,39.8,24.1,12,1.5,140,3.5,3.5,0,0,4.8,0.3,51.9,,,,,,,,,,,,,,,,,,,,,90,0,3.5,0.4,k.A.
"Halbrahm, pasteurisiert",pro 100g essbarer Anteil,1130,274,27.9,16.7,6.6,1.3,82,3.3,3.3,0,0,2.3,0.1,65.8,,,,,,,,,,,,,,,,,,,,,64,0,12,0.2,k.A.
"Halbrahm, UHT",pro 100g essbarer Anteil,1030,251,25.1,15.1,5.9,1.2,71,3.7,3.7,0,0,2.5,0.1,67.8,,,,,,,,,,,,,,,,,,,,,74,0,12,0.3,k.A.
Halbweissbrot,pro 100g essbarer Anteil,1020,240,1.1,0.1,0.1,0.5,0,46.4,0.4,45.6,3.7,9.4,1.7,40.2,,,,,,,,,,,,,,,,,,,,,130,1.8,1.1,1.3,2.7
Halbweissbrot (mit jodiertem Kochsalz),pro 100g essbarer Anteil,1020,240,1.1,0.1,0.1,0.5,0,46.4,0.4,45.6,3.7,9.4,1.7,40.2,,,,,,,,,,,,,,,,,,,,,130,1.8,44,1.3,2.7
"Hamburger, doppelt",pro 100g essbarer Anteil,1080,258,12.1,6.3,4.1,1,30,24.7,3.3,21.3,1.7,11.9,1.4,47.4,,,,,,,,,,,,,,,,,,,,,220,1.2,6.5,1.9,16
Hanföl,pro 100 ml,3330,810,90,8.9,11.4,65,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
"Hart- und Halbhartkäse, vollfett (Durchschnitt)",pro 100g essbarer Anteil,1650,397,32.1,19.5,7.6,1.5,92,0,0,0,0,26.6,1.2,40.7,,,,,,,,,,,,,,,,,,,,,590,0.3,16,4.3,k.A.
"Hartkaramellen, Hartbonbons",pro 100g essbarer Anteil,1630,385,0.3,0.2,0.1,0,0,95,95,0,0,0.5,0.1,4.1,,,,,,,,,,,,,,,,,,,,,12,0.1,Sp.,0,k.A.
"Hartweizengriess, trocken",pro 100g essbarer Anteil,1500,353,1.4,0.2,0.1,0.5,0,71.4,1,70.4,3.4,12,0,12.1,,,,,,,,,,,,,,,,,,,,,100,0.9,5.1,2.2,k.A.
"Hase (Durchschnitt), roh",pro 100g essbarer Anteil,485,115,3,1,0.5,0.8,65,0,0,0,0,22,0.1,74,,,,,,,,,,,,,,,,,,,,,210,2.8,0.6,2.2,k.A.
Haselnuss,pro 100g essbarer Anteil,2730,661,59.5,4.2,46.6,6.1,0,10.1,3,0.3,9.7,16.4,0,4,,,,,,,,,,,,,,,,,,,,,320,3.6,6.5,2.9,0.7
Haselnuss-Schokolade-Brotaufstrich,pro 100g essbarer Anteil,2290,548,32.7,12,15.6,3.7,0,55.9,54.5,0.5,2.9,6,0.1,3,,,,,,,,,,,,,,,,,,,,,160,1.2,3.8,1,k.A.
Haselnusskekse,pro 100g essbarer Anteil,1970,473,27.7,8,16,2.3,32,47.4,23.3,24,3.5,6.7,0.1,13.5,,,,,,,,,,,,,,,,,,,,,160,1.6,2,0.9,k.A.
Haselnussmakrone,pro 100g essbarer Anteil,2260,544,37,2.6,29,3.8,0,37.4,33,0.2,6,12.2,0.2,8.9,,,,,,,,,,,,,,,,,,,,,200,2.3,5.5,1.8,1.9
Haselnussstängeli,pro 100g essbarer Anteil,2360,567,36.6,12.5,17.7,3.1,140,47,22.6,22.3,3.7,10.5,0.1,3.3,,,,,,,,,,,,,,,,,,,,,180,1.9,11,1.5,5.8
"Hecht, roh",pro 100g essbarer Anteil,344,81,0.9,0.2,0.2,0.2,63,0,0,0,0,18.4,0.2,79.6,,,,,,,,,,,,,,,,,,,,,230,0.5,8,0.8,24
"Hefeteig (mit Butter), süss, ungebacken",pro 100g essbarer Anteil,1310,311,11.1,6.1,2.7,1,57,43.2,6.4,36.4,1.9,8.7,0.9,35.8,,,,,,,,,,,,,,,,,,,,,110,1.1,5.8,0.9,3.3
"Hefeteig (mit pflanzlichem Fett), süss, ungebacken",pro 100g essbarer Anteil,1270,304,11.4,3.4,4.8,2.2,36,40,1.1,38.5,2.1,9.2,1,38,,,,,,,,,,,,,,,,,,,,,120,1.1,6.3,0.9,3.5
"Heidelbeere, roh",pro 100g essbarer Anteil,245,58,0.5,Sp.,Sp.,Sp.,0,11.3,11.3,0,3,0.6,0,83,,,,,,,,,,,,,,,,,,,,,11,0.5,1,0.1,k.A.
"Heilbutt, roh",pro 100g essbarer Anteil,495,118,3.9,0.5,0.9,1.2,60,0,0,0,0,20.6,0.2,74.5,,,,,,,,,,,,,,,,,,,,,220,0.5,1,0.5,k.A.
"Himbeere, roh",pro 100g essbarer Anteil,215,52,0.6,0,0.1,0.3,0,7,7,Sp.,6.7,1.2,0,84,,,,,,,,,,,,,,,,,,,,,29,0.7,3,0.5,k.A.
Hinterschinken,pro 100g essbarer Anteil,440,104,2.3,0.9,1.1,0.2,42,0.7,0.7,0,0,20.2,2.4,73.6,,,,,,,,,,,,,,,,,,,,,330,0.6,3.6,1.9,8
"Hirsch (Durchschnitt), roh",pro 100g essbarer Anteil,474,112,3.3,1.5,1.4,0.2,50,0,0,0,0,20.6,0.2,74.9,,,,,,,,,,,,,,,,,,,,,200,2.3,0.6,3.2,k.A.
"Hirsch, Entrecôte, roh",pro 100g essbarer Anteil,470,111,2.1,1.2,0.9,0.5,59,0,0,k.A.,0,23.1,0.1,71.5,,,,,,,,,,,,,,,,,,,,,200,3,7.8,2.9,k.A.
"Hirse, Korn geschält",pro 100g essbarer Anteil,1520,360,3.9,1,0.9,1.9,0,68.8,1.5,60,3.8,10.6,0,12.1,,,,,,,,,,,,,,,,,,,,,280,6.9,2.5,2.9,k.A.
"Hirseflocken, Vollkorn",pro 100g essbarer Anteil,1520,360,3.9,0.9,0.8,1.7,0,68.8,1.6,66.4,3.9,10.6,0,10.5,,,,,,,,,,,,,,,,,,,,,280,6.9,2.5,2.9,k.A.
"Hirsotto, gekocht",pro 100g essbarer Anteil,606,144,3,0.5,1.6,0.7,0,24.8,1.4,19.8,1.5,3.7,0.9,67.3,,,,,,,,,,,,,,,,,,,,,95,2.3,1.3,1,k.A.
Hollandaisesauce,pro 100g essbarer Anteil,876,212,18,9,5.3,0.7,60,9.3,6.2,3.1,0.1,3,1,66.2,,,,,,,,,,,,,,,,,,,,,30,0.7,4.5,0.7,k.A.
"Holunderbeere, schwarz, roh",pro 100g essbarer Anteil,219,52,0.5,0,0,0.3,0,7.4,7.4,0,4,2.5,0,84,,,,,,,,,,,,,,,,,,,,,57,1.6,3,0.2,k.A.
Honig (Blütenhonig),pro 100g essbarer Anteil,1300,306,0,0,0,0,0,76,76,0,0,0.4,0,20,,,,,,,,,,,,,,,,,,,,,17,0.5,0.5,0.4,k.A.
"Honigmelone, roh",pro 100g essbarer Anteil,159,38,0.1,Sp.,Sp.,Sp.,0,8,8,0,0.9,0.7,0,90,,,,,,,,,,,,,,,,,,,,,17,0.2,1,0.1,k.A.
Hot Dog in Weissbrot mit Ketchup und Senf,pro 100g essbarer Anteil,908,216,6.3,2.2,2.8,0.9,14,29.6,2.5,26.7,1.9,9.1,2,53.5,,,,,,,,,,,,,,,,,,,,,110,0.8,2.3,0.9,k.A.
"Hühnerei, ganz, festgekocht",pro 100g essbarer Anteil,648,156,10.9,2.9,4.1,1.8,389,0.3,0.3,0,0,14,0.4,74.7,,,,,,,,,,,,,,,,,,,,,180,1.7,27,1.2,22
"Hühnerei, ganz, roh",pro 100g essbarer Anteil,583,140,9.8,2.6,3.7,1.7,350,0.3,0.3,0,0,12.6,0.4,76,,,,,,,,,,,,,,,,,,,,,200,1.8,39,1.2,21
"Hühnereigelb, roh (Eidotter)",pro 100g essbarer Anteil,1440,349,31.3,8.8,12,5,1255,0.3,0.2,0,0,16.4,0.1,52.7,,,,,,,,,,,,,,,,,,,,,560,5.5,110,3.8,59
"Hühnereiweiss, roh (Eiklar)",pro 100g essbarer Anteil,187,44,0.1,Sp.,Sp.,Sp.,0,0.3,0.3,0,0,10.5,0.5,87.5,,,,,,,,,,,,,,,,,,,,,12,0,7.5,0,8
"Hülsenfrüchte (Durchschnitt), gekocht (ohne Zugabe von Fett und Salz)",pro 100g essbarer Anteil,536,127,1.9,0.3,0.4,1,0,14.7,1,12.6,6.5,9.6,0,67.5,,,,,,,,,,,,,,,,,,,,,150,2,0.7,1.1,k.A.
"Hülsenfrüchte (Durchschnitt), getrocknet",pro 100g essbarer Anteil,1420,336,4.9,0.7,1,2.7,0,39.7,2.7,34.1,16.5,25.1,0,14.3,,,,,,,,,,,,,,,,,,,,,420,6,1.8,3.2,k.A.
Hummus,pro 100g essbarer Anteil,849,204,14,1.8,6.8,4.2,0,9.6,1,8.2,5.1,7.3,1.1,64.4,,,,,,,,,,,,,,,,,,,,,170,2.1,1.3,1.3,k.A.
"Hüttenkäse, nature",pro 100g essbarer Anteil,418,100,4.5,2.7,1,0.2,14,2.4,2.2,0,0,12.4,0.8,78.6,,,,,,,,,,,,,,,,,,,,,150,0,20,0.4,k.A.
"Instant-Kartoffelstock, zubereitet (mit Wasser und Butter)",pro 100g essbarer Anteil,337,80,2.8,1.6,0.6,0.2,8,11.5,1.8,9.7,0.8,2,0.6,83,,,,,,,,,,,,,,,,,,,,,67,0.4,1.2,0.2,k.A.
Jägersauce,pro 100g essbarer Anteil,245,58,1.8,0.5,0.7,0.2,0,8,2.5,5.5,0.5,2.2,1.5,85.8,,,,,,,,,,,,,,,,,,,,,47,0.7,4,0.7,k.A.
Joghurt-Salatsauce (ohne Öl),pro 100 ml,280,67,3.3,2,0.8,0.2,10,5.7,5.7,0,0.1,3.6,0.6,87.3,,,,,,,,,,,,,,,,,,,,,100,0,15,0.4,k.A.
"Joghurt Bifidus, nature",pro 100g essbarer Anteil,276,66,3.6,2.2,0.9,0.2,11,4.5,4.5,0,0,4,0.1,85.5,,,,,,,,,,,,,,,,,,,,,110,0,7.5,0.5,k.A.
Joghurt gezuckert (Durchschnitt),pro 100g essbarer Anteil,443,105,3.4,2,0.9,0.2,10,14.7,13.8,0.1,0.4,3.7,0.1,77.7,,,,,,,,,,,,,,,,,,,,,100,0.1,6.1,0.5,k.A.
"Joghurt mit Aroma, mager, mit Süssstoffen",pro 100g essbarer Anteil,198,47,0.1,0.1,0,0,0,7,7,Sp.,0,4.4,0.1,86.6,,,,,,,,,,,,,,,,,,,,,120,0.1,6,0.4,k.A.
"Joghurt mit Früchten, mager, mit Süssstoffen",pro 100g essbarer Anteil,206,49,0.1,0.1,0,0,0,7,7,0.1,0.9,4.5,0.1,86.6,,,,,,,,,,,,,,,,,,,,,120,0.1,6,0.4,k.A.
"Joghurt, Erdbeer",pro 100g essbarer Anteil,424,101,2.7,1.6,0.6,0.1,8,15.2,14.3,0.1,0.9,3.4,0.1,76.8,,,,,,,,,,,,,,,,,,,,,97,0.1,5.5,0.4,k.A.
"Joghurt, Haselnuss",pro 100g essbarer Anteil,497,119,4.6,2.5,1.6,0.4,11,15,14,0.1,0.9,3.8,0.1,74.7,,,,,,,,,,,,,,,,,,,,,100,0.1,6.5,0.5,k.A.
"Joghurt, Mokka",pro 100g essbarer Anteil,417,99,3.1,1.9,0.7,0.1,9,14.1,13.2,0,0,3.7,0.1,77.4,,,,,,,,,,,,,,,,,,,,,100,0.1,6,0.4,k.A.
"Joghurt, Mokka, Bio",pro 100g essbarer Anteil,401,95,3.3,k.A.,k.A.,k.A.,k.A.,13.1,12.4,0,0,3.4,0.1,78.2,,,,,,,,,,,,,,,,,,,,,100,0.2,6,0.5,k.A.
"Joghurt, nature",pro 100g essbarer Anteil,277,66,3.6,2.2,0.9,0.2,11,4.5,4.5,0,0,3.9,0.1,85.6,,,,,,,,,,,,,,,,,,,,,110,0,16,0.4,k.A.
"Joghurt, nature, mager",pro 100g essbarer Anteil,178,42,0.1,0.1,0,0,0,5.5,5.5,0,0,4.7,0.2,88.2,,,,,,,,,,,,,,,,,,,,,130,0.1,9.5,0.5,k.A.
"Joghurt, Schokolade",pro 100g essbarer Anteil,505,120,3.9,2.4,0.9,0.2,11,16.9,15.5,0.5,0.8,3.9,0.1,73.5,,,,,,,,,,,,,,,,,,,,,110,0.3,6,0.5,k.A.
